beerid,breweryid,name,abv,ibu,isorganic,isretired,servingtemperature,foodpairings,status,styleid
dnUKxu,nHLlnK,Chocolate Chili Stout - High Altitude Series,8.8,,N,N,,,verified,43
T1YdsG,p1tFbP,Chocolate Pretzel Stout,5.2,,Y,N,,,verified,122
x71Neo,p1tFbP,Chocolate Stout (Cask Conditioned) Aka Double Chocolate Snowman Stout,,,Y,N,,,verified,42
EBgR2m,VEY3Xa,Choice Make Good,8.3,95,N,N,,,verified,31
zpvlri,q6vJUK,Christmas Chub,8,,N,N,,,verified,124
oEiXJV,nHLlnK,Christmas Jam,4.2,,N,N,,,verified,108
Hh3VFp,p3YrOa,Cinnister Stout,5,,N,N,,,verified,42
iTZlLw,p1tFbP,Citra IPL,5.2,,Y,N,,,verified,30
yQqOSf,p1tFbP,Citra Pale Ale,,,Y,N,,,verified,25
tMseDR,4F7QA9,Citrus And Vanilla Berlinerweisse,4.7,,N,N,,,verified,46
8pAabO,nLsoQ9,CitruSinensis,7.9,,Y,N,,,verified,25
3dsDxX,nHLlnK,Clean Sweep,3.5,,N,N,,,verified,36
CtLLsH,p3YrOa,Coco Nuts,5,,N,N,,,verified,72
mXym9s,nHLlnK,Coffee Stout,6.2,,N,N,,,verified,44
gfFqa1,yX6twV,Cold Nose Winter Ale,,,N,Y,,,verified,13
qhppip,p1tFbP,Collabinator Wit,,,Y,N,,,verified,65
h2d5zt,VEY3Xa,Conehead,5.7,49,N,N,,,verified,30
a1DUfG,TMc6H2,Cool Breeze,4.9,,N,N,,,verified,72
sghlNk,q6vJUK,Cornlaboration,5.8,,N,N,,,verified,93
uycrg9,p1tFbP,Corsair Buckwheat Porter,,,Y,N,,,verified,158
ViVJh6,VEY3Xa,CÔTE DE CHAMPLAIN,6.1,33,N,N,,,verified,125
ehb1eB,DifSi4,Country Pale Ale,5.1,17,N,N,,,verified,25
bqKaTO,BznahA,Cran-Ber-Rita,8,,N,N,,,verified,161
C7bzqV,p3YrOa,Cranberry Kolsch,5,,N,N,,,verified,45
bHmQdD,TMc6H2,Crank Tank,5.8,25,N,N,,,verified,112
FDpmPR,TMc6H2,Crank Tank Rye'd Ale,6.2,,N,N,,,verified,115
BkSzxg,p1tFbP,Cream Ale,5.9,18,Y,N,,,verified,20
xwLUUb,yX6twV,Cream Ale,5,12,N,N,,,verified,109
537zpn,AqEUBQ,Credits & Debits,5,,N,N,,,verified,25
fDmp62,q6vJUK,Crye Me A River,5.6,,N,N,,,verified,117
S1oEH9,yX6twV,CSB ESB,,,N,Y,,,verified,5
AvtUms,p1tFbP,Cubcrawler,,,Y,N,,,verified,14
3PGxCQ,uM2jeT,Cuvée Jeune Homme,6.5,,N,N,,,verified,170
nF8WBb,uM2jeT,Cuvée Mam'zelle,8.5,,N,N,,,verified,57
rDnNdd,uM2jeT,Cuvée Soeur’ise,8.5,,N,N,,,verified,59
nFcIwJ,p1tFbP,D07,,,Y,N,,,verified,112
iT9pf4,q6vJUK,Dale's Pale Ale,6.5,65,N,N,,,verified,25
2ADEYR,q6vJUK,Dale's Pale Ale Nitro,6.5,65,N,N,,,verified,25
JDzrBR,q6vJUK,Dales Dry Hop Equinox,6.5,,N,N,,,verified,25
vXifKs,q6vJUK,Dales T45 Dry Hop,6.5,,N,N,,,verified,25
XrRTUJ,q6vJUK,Dales T90 Dry Hop,6.5,,N,N,,,verified,25
6gFiUn,TMc6H2,Dank Tank Border Hopper,8.6,,N,N,,,verified,31
LR5oG8,TMc6H2,Dank Tank BSP Quad,11,,N,Y,,,verified,60
69tWZj,TMc6H2,Dank Tank Ghoulash,8.5,167,N,N,,,verified,31
BlcFcv,TMc6H2,Dank Tank Magnum IP,9,100,N,Y,,,verified,76
ARoWVg,TMc6H2,Dank Tank Old Man Johnson's Farm,9.6,60,N,N,,,verified,43
ov7fgF,TMc6H2,Dank Tank Pulled Porter,7.7,,N,N,,,verified,18
DEojxv,TMc6H2,Dank Tank Red Hot Mama,8.6,,N,N,,,verified,33
9nXV0D,TMc6H2,Dank Tank The Price is Wrong,9,,N,N,,,verified,64
zc3p4y,TMc6H2,Dank Tank: Smokey and the Brett,7.3,55,N,N,,,verified,30
x3ijRg,TMc6H2,Dank Tank: Some Strange II Black IPA,10,,N,N,,,verified,41
sqELhU,p1tFbP,Dark Knight,,,Y,N,,,verified,18
0HZF08,nLsoQ9,Dark Swan,8.7,,N,N,,,verified,40
XVWs1B,nHLlnK,Dark Wheat,,,N,N,,,verified,97
6f6SpY,p1tFbP,Das Bij,5.6,26,Y,N,,,verified,72
24UMt9,nLsoQ9,Davey Murray's Best Scotch Ale,9.5,52,N,N,,,verified,15
qgR2pv,nLsoQ9,DayTime Ale,4.65,54.2,N,N,,,verified,164
bwmm73,BznahA,Daytona Dark Wheat Lager (Batch No. 32218),5,,N,N,,,verified,103
MDLWPq,yX6twV,De Achste Hond Peach Sour,7,27,N,N,cellar,,verified,40
HXVdFT,q6vJUK,Death By Coconut,6.5,25,N,N,,,verified,18
TQaDOh,q6vJUK,Death By Coconut (Rum Barrel Aged),11.5,45,N,N,,,verified,158
ZvzhRI,p1tFbP,Deer Antler,,,Y,N,,,verified,117
7Tfy0M,p1tFbP,Demon Brewn,,,Y,N,,,verified,62
ABAHdk,q6vJUK,Deuce,7,,N,N,,,verified,37
4nRKTH,nHLlnK,DevESTATEtion,6.7,67,N,N,,"Salad with Citrus based dressing, Smokey Barbeque, Tamales, Cilantro-focused Salsa, Smoked Gouda, Spice cake, Sweet carrot cake",verified,41
7dkC8e,q6vJUK,Deviant Dale’s,8,85,N,N,,,verified,30
RDEj6L,yX6twV,Devil Dog Imperial IPA,10.8,99,N,N,,,verified,31
3XBmmp,p3YrOa,Devils Double,8,,N,N,,,verified,31
kK34fk,4F7QA9,Diggler Double IPA,8,85,N,N,,,verified,31
cOSoch,p1tFbP,Dire Wolf,6.2,79,N,N,,,verified,30
bHDV83,4F7QA9,Dirty Blonde Ale,4.5,,N,N,,,verified,36
XWveu5,p3YrOa,Dock Street Walker,,,N,N,,,verified,44
NE2Dpl,yX6twV,Dogs of Helles,4,9,N,N,,,verified,89
aabOus,yX6twV,DogZilla Black IPA,6.9,68.4,N,N,,,verified,30
gEUoCZ,nLsoQ9,Doppel Sticky,7.7,66,N,N,cool,,verified,55
CMvItN,nLsoQ9,Doppel Weizen,8.5,,N,N,,,verified,48
hn9LIa,q6vJUK,Doppelbock,,,N,N,,,verified,90
0I5b84,nHLlnK,Double DeBOCKel,9.4,,N,N,,,verified,90
LVSSPk,nHLlnK,Double Latte - Beer Camp Across America,7.6,60,N,Y,,,verified,20
WHQisc,AqEUBQ,Dragon's Milk,11,31,N,N,cool,"Red meat, smoked foods, balsamic, rich cheese & dark chocolate.",verified,43
ZDbYzs,AqEUBQ,Dragon's Milk Reserve Coconut Rum,11,30,N,N,,"chocolate, curry, fresh pineapple",verified,43
uhfEWi,AqEUBQ,Dragon's Milk Reserve Mexican Spice Cake,11,,N,N,,,verified,43
Vuhegf,AqEUBQ,Dragon's Milk Reserve Triple-Mashed,11,,N,N,,,verified,43
RXEBYd,AqEUBQ,Dragon's Milk Reserve Vanilla Chai,11,30,N,N,,"white chocolate, berries, pastry",verified,43
HHG2Nn,AqEUBQ,Dragon's Milk Reserve with Coffee And Chocolate,11,,N,N,,,verified,43
ndgIxK,AqEUBQ,Dragon's Milk Reserve with S'mores,11,31,N,N,,,verified,43
2wvRmF,AqEUBQ,Dragon's Milk Reserve with Toasted Chilies,11,,N,N,,,verified,43
BnYgKN,AqEUBQ,Dragon's Milk Reserve with Vanilla Chai,11,,N,N,,,verified,43
IpcSsv,AqEUBQ,Dragon's Milk Reserve: Brewer's Select,12,,N,N,,,verified,43
ZJJ8yY,AqEUBQ,Dragon's Milk Reserve: Cherry Chocolate,11,31,N,N,,,verified,43
8lo5KQ,AqEUBQ,Dragon's Milk Reserve: Mexican Spice Cake,11,70,N,N,,,verified,43
DwfEan,AqEUBQ,Dragon's Milk Reserve: Raspberry Lemon,11,,N,N,,,verified,134
fMn3Hq,AqEUBQ,Dragon's Milk Reserve: Salted Caramel,11,,N,N,,,verified,43
Y6iD9x,AqEUBQ,Dragon’s Milk Reserve with Raspberries,11,31,N,N,,,verified,134
3tlrAU,AqEUBQ,Dragon’s Milk Reserve: Banana Coconut,11,31,N,N,,,verified,43
UTh8Gm,AqEUBQ,Dragon’s Milk Reserve: Mocha Mint,11,,N,N,,,verified,43
4GgbWG,nHLlnK,Draught-Style Pale Ale,5,36,N,N,,,verified,25
1LvpyW,DMU2Kf,Drink This IPA,6.1,,N,N,,,verified,30
4iQV5k,BznahA,Dry Hopped Coastal Pilsner (Batch No. 23185),6,,N,N,,,verified,98
hqQhp6,IImUD9,Dry Irish Stout,4.8,38,N,N,,,verified,42
dFaMLe,nLsoQ9,Dry-Hopped Censored Ale,6.7,,N,N,,,verified,125
utrZWH,VEY3Xa,Dubbel,7.4,22,N,N,,,verified,58
RsTK7E,941OaA,Dude of York,4.5,10,N,N,cool,,verified,3
vzcxNZ,nHLlnK,Dunkelweizen,5.5,,N,N,,,verified,52
hKT9uI,nHLlnK,Dunkelweizen Bock,7.2,,N,N,,,verified,53
nvaDvZ,nHLlnK,Eagle Rare Barrel Aged Scotch Ale,11.3,,N,N,,,verified,15
AC98pm,nHLlnK,Earth Day EPA,5.2,,N,N,,,verified,5
jcxBhr,AqEUBQ,el Mole Ocho,8.4,,N,N,,,verified,125
YBxI4X,AqEUBQ,El Mole Ocho,10,16.4,N,N,,"Poultry, red meat, dark chocolate",verified,124
PSRi4b,nHLlnK,Electric Ray,8.5,70,N,N,,,verified,31
jBjeGJ,nHLlnK,Electric Ray - Beer Camp Across America,8.5,70,N,N,,,verified,97
OFYff7,AqEUBQ,Envious,7.5,,N,N,,"charcuterie, roasted poultry, grilled stone fruits.",verified,119
DGhJbX,nLsoQ9,Equinox,8.4,50,Y,N,,,verified,25
ebYlhO,nLsoQ9,Eroica,7.4,10.8,N,N,,,verified,72
MtJRP6,4F7QA9,ESB,5.5,32,Y,N,,,verified,5
TavGRG,nHLlnK,ESB - Early Spring Beer,5.9,,N,N,,,verified,25
LDb6oj,nHLlnK,Estate Ale,6.7,67,Y,N,,"Caprese Salad, Southern Barbeque, Tamales, Cilantro-Focused Salsas",verified,125
kusLBU,AqEUBQ,Existential,11.1,,N,N,,,verified,34
Dn64tp,nHLlnK,Experimental Hop Double IPA,8,65,N,N,,,verified,31
z9eSax,nHLlnK,EXPERIMENTAL HOP PILSNER,5.5,46,N,N,,,verified,98
bTNGkO,nHLlnK,Experimental Hop Session IPA,4.6,41,N,N,,,verified,164
H20aOl,IImUD9,Extra ESB - Small Batch Series,7.8,,N,N,,,verified,5
35wxef,VEY3Xa,Extra Stout,5.3,35,N,N,,,verified,23
YViUzm,AqEUBQ,Extra Time,5.8,,N,N,,,verified,80
xjwBeb,DMU2Kf,Fall Ball Red,8,,N,N,,,verified,33
JW5SJV,nHLlnK,Family Values,8.5,35,N,N,,,verified,37
xXEmDi,nLsoQ9,Fandom Ale Fusion XXXIX,5.5,50,N,N,,,verified,112
QefHZY,AqEUBQ,Farmhouse Hatter,5.07,53,N,N,,"seafood, fennel, mushrooms and pickled veggies",verified,62
xqbL8h,q6vJUK,Fat Slim,5,55,N,N,,,verified,30
KPu2Ot,nHLlnK,Festival Bier,6,,N,N,,,verified,102
RsGMGn,TMc6H2,Festive Ale,8.5,,N,N,,,verified,124
ULacWY,uM2jeT,Fils à Papa IV,6.5,,N,N,,,verified,136
6fJQfz,uM2jeT,Fils À Papa V,8.5,,N,N,,,verified,59
ttJysx,AqEUBQ,Filthy Pumpkin,7.75,,N,N,,,verified,43
9Ylplt,nHLlnK,Fistful of Hops,6.2,,N,N,,,verified,25
ceP1Cs,nHLlnK,Five Hop - Experimental IPA,5.8,60,N,N,,"CUISINE  Greek-style grilled chicken, Blackened Catfish, Citrus salad with shaved parmesan and lemon-lime vinaigrette
CHEESE  Aged Monterey Jack, Dry Parmesan, Cotswold
DESSERT  Lemon sorbet with roasted pistachios",verified,30
ePh6fw,nHLlnK,Flipside Red IPA,6.2,60,N,N,,"Asian spiced dishes, Steak fajitas, Port-Salut or other lightly tangy cheese, Caramel based desserts",verified,32
OxvWPv,nHLlnK,Floral IPA - Beer Camp #53,5.9,,N,N,,,verified,30
1XAbSf,nHLlnK,Foam Pilsner,5.6,,N,N,,,verified,98
iYbsQ5,AqEUBQ,Fohn,4.7,,N,N,,,verified,80
3wspDn,HaPdSL,Foreign Extra Stout (Ghana),7.5,,N,N,,,verified,16
3nrJLN,q6vJUK,Four Hopsmen - Comet Dry Hopped,5.2,,N,N,,,verified,25
g7a7Uo,q6vJUK,Four Hopsmen - HBC 472,5.2,,N,N,,,verified,25
IRIveF,q6vJUK,Four Hopsmen - Hop Head Farms Eperimental Dry Hopped,5.2,,N,N,,,verified,25
ul1jng,q6vJUK,Four Hopsmen - Mandarina Bavaria Dry Hopped,5.2,,N,N,,,verified,25
HqKYLu,p1tFbP,Four Roses Bourbon Bearwalker Sour,,,Y,N,,,verified,40
VyWf1j,p1tFbP,Four Roses Rompo,,,Y,N,,,verified,118
CFiVaj,p1tFbP,Four Roses Sour,,,Y,N,,,verified,40
N5lJcK,AqEUBQ,Four Witches ,7.3,,N,N,,"Gilled or Blackened fish, jambalaya, mushroom sautées.",verified,72
rJ51vR,q6vJUK,Freedom Tickler,6.8,,N,N,,,verified,72
YaI6zp,IImUD9,Fresh Hop - Mountain Series,6.2,57,N,N,,,verified,26
FVFucy,nHLlnK,Fresh Hop Double IPA,8,,N,N,,,verified,31
1FBXjy,nHLlnK,Fresh Hop IPA,6.4,58,N,N,,,verified,30
t0iVWe,q6vJUK,Fresh Hops of Bel-Air,5.5,,N,N,,,verified,32
tDKmD5,TMc6H2,Fresh Sticky Nugs,8,60,N,N,,,verified,31
907FUe,q6vJUK,Fugli,5.8,60,N,N,,,verified,30
PsFAwd,AqEUBQ,Full Circle,4.9,26,N,N,cold,"seafood, corn, veggies and mild white cheeses",verified,45
AI17Hf,q6vJUK,Fumble Brewski,4.5,,N,N,,,verified,101
whlYbK,AqEUBQ,Funk Vessel,,,N,N,,,verified,40
276GV8,VEY3Xa,Funkytown,6,,N,N,,,verified,170
CWqXDN,nLsoQ9,Fusion 16,4.8,54,N,N,,,verified,108
w7z0LS,nLsoQ9,Fusion 17,5.5,,N,Y,,,verified,37
JoGCC1,nLsoQ9,Fusion 18,10,,N,N,,,verified,34
hy7HsS,nLsoQ9,Fusion 20,9,,N,N,,,verified,31
HG1dy6,nLsoQ9,Fusion 21,4.7,40,N,N,,,verified,30
uec7XF,nLsoQ9,Fusion 22,7.8,,N,N,,,verified,125
Cn8hSH,nLsoQ9,Fusion 23,7,,N,N,,,verified,30
LVghwn,nLsoQ9,Fusion 24,5.7,,N,N,,,verified,32
BZGnql,nLsoQ9,Fusion 26,6.65,,N,N,,,verified,26
5iehRZ,nLsoQ9,Fusion 30,7.1,55,N,N,,,verified,61
GXDZpo,nLsoQ9,Fusion 32,7.5,,N,N,,,verified,30
cX0XkP,nLsoQ9,Fusion 34 Michiganja,6.7,,N,N,,,verified,18
UFPFnA,nLsoQ9,Fusion 36: London Confusion,6.5,,N,N,,,verified,2
GNtxMV,nLsoQ9,Fusion 39,5.5,,N,N,,,verified,25
dTCluj,nLsoQ9,Fusion 40,8.5,,N,N,,,verified,31
yZruL5,nLsoQ9,Fusion 48,8.3,,N,N,,,verified,30
vLTky5,nLsoQ9,Fusion 49,6.5,,N,N,,,verified,30
b65A4y,nLsoQ9,Fusion 9,5.5,,N,N,,,verified,31
7BGyan,VEY3Xa,Fuzzworthy,5.9,,N,N,,,verified,30
mUt5nB,q6vJUK,G'Afternoon,6,60,N,N,,,verified,30
69R1Vd,q6vJUK,G'Knight,8.7,85,N,N,,,verified,31
CU2xRZ,q6vJUK,G'Knight (Breckenridge Whiskey Barrel Aged),8.7,,N,N,,,verified,33
esFZwY,q6vJUK,G'Knight Imperial Red IPA,8.7,,N,N,,,verified,138
9cqNKc,TMc6H2,Georgia Brown,5.8,30,N,N,,,verified,37
oLL7QN,nHLlnK,German Style IPA,6.1,45,N,N,,,verified,30
HiunCp,q6vJUK,Gingerbread Old Chub,8,32,N,N,,,verified,8
oBALsi,nHLlnK,Glissade Golden Bock,6.4,42,N,N,,,verified,89
VFG5pL,nLsoQ9,GnarlyWine,10.6,,N,N,,,verified,34
jMQlvu,TMc6H2,Goin' Coastal,6.1,,N,N,,,verified,30
8qafAu,HaPdSL,Golden Ale,4.5,,N,N,,,verified,36
WCPtV5,AqEUBQ,Golden Cap Saison Ale,6.25,,N,N,,,verified,72
ZVmIsO,AqEUBQ,Golden Flash,5.7,,N,N,,,verified,1
llmv40,nHLlnK,Golden IPA,5.9,55,N,N,,"CUISINE - San Diego-style Fish Tacos, Grilled Marinated Tri-Tip Steak, Roasted Root Vegetables
CHEESE - Aged Goat Cheese
DESSERT - Tart Lemon and Candied Grapefruit Pastry",verified,30
trEROu,q6vJUK,Good Game,11,,N,N,,,verified,60
FocTXx,q6vJUK,Goofer Dust,6.1,40,Y,N,,,verified,25
S3xcp2,VEY3Xa,Gr8ful Anniversary Ale,5.2,,N,N,,,verified,119
CwbQiB,VEY3Xa,Grand Royal,8.3,80,N,N,,,verified,31
4o9Ml2,nHLlnK,Grandma's Closet,7.6,,N,N,,,verified,132
17XX3q,BznahA,GRAPE-A-RITA,,,N,N,,,verified,161
U7lF72,TMc6H2,Grass Monkey,5.4,35,N,N,,,verified,112
wJ9ull,nLsoQ9,Gravenstime,4.6,,N,N,,,verified,164
o4farp,AqEUBQ,Gravitation Collaboration,7.8,,Y,N,,,verified,89
Cj5RaA,p3YrOa,Great Pumpkin,5.5,,N,N,,,verified,121
nPSHXY,DifSi4,Green Monsta IPA,7.3,55,N,N,,,verified,30
DUmEEi,VEY3Xa,Green State Lager,4.9,25,N,N,,,verified,98
GVNZZQ,BznahA,Green Valley Wild Hop Lager,5,,Y,N,,,verified,97
7gKo41,4F7QA9,Grizzly Imperial Pale Ale,8.1,85,N,N,,,verified,30
avUZok,TMc6H2,Ground Score,7.1,85,N,N,,,verified,25
56HXGK,nHLlnK,GUARD de BEER,7,,N,N,,,verified,71
coUX1m,q6vJUK,Gubna,10,100,N,N,,,verified,31
pq9MUi,q6vJUK,Gubna Barrel Aged,11,100,N,N,,,verified,31
2YWln7,q6vJUK,Gubna Imperial IPA,10,,N,N,,,verified,31
NamZiK,HaPdSL,Guinness 250th Anniversary Stout,5,,N,N,cool,,verified,42
Yq3v6n,HaPdSL,Guinness Black Lager,4.5,,N,N,cold,,verified,84
qbeSzR,HaPdSL,Guinness Blonde,5,21,N,N,,,verified,93
StkEiv,HaPdSL,Guinness Draught,4.3,50,N,N,cool,,verified,23
gkSM7N,HaPdSL,Guinness Dublin Porter,3.8,,N,N,,,verified,24
K2qBGW,HaPdSL,Guinness Extra Stout,5,,N,N,,,verified,42
J9xszw,HaPdSL,Guinness Foreign Extra,7.5,40,N,N,cold,,verified,24
c9u7Eo,HaPdSL,Guinness Generous Ale,5.6,,N,N,cold,,verified,22
Ia4uJ0,HaPdSL,Guinness Milk Stout,5,,N,N,,,verified,20
8LowIZ,HaPdSL,Guinness Nitro IPA,5.8,40,N,N,cold,,verified,30
JfC6wN,HaPdSL,Guinness Red Harvest Stout,4.1,,N,N,cold,,verified,23
DGCFAD,HaPdSL,Guinness Rye Pale Ale,5,,N,N,,,verified,117
unQfZE,HaPdSL,Guinness Special Export,8,,N,N,,,verified,24
FAIsfG,HaPdSL,Guinness West Indies Porter,6,,N,N,,,verified,18
hf0GB8,p1tFbP,Hairy Highlander,,,Y,N,,,verified,15
4BzAQE,TMc6H2,Happy Ending,9,,N,N,,,verified,43
Hb6O3U,TMc6H2,Happy Ending,9,,N,N,,,verified,43
NRRfYP,BznahA,Harbin Lager,5.5,,N,N,cold,,verified,77
CD9BLy,DMU2Kf,Harmon Killerbrew,7.6,,N,N,,,verified,22
ztJYpI,HaPdSL,Harp Lager,5,,N,N,cold,,verified,97
Yzokxa,HaPdSL,Harp Premium Imported Lager,4.5,,N,N,cold,,verified,97
eIZS7k,nHLlnK,Harvest Ale,6.5,,N,Y,,,verified,25
GGaceU,nHLlnK,Harvest Ale 2007,6.7,,N,N,,,verified,25
YEIMmF,nHLlnK,Harvest Brewers Select IPA,6.6,,N,N,,,verified,30
x8U1bY,nHLlnK,Harvest Fresh Hop IPA - Southern Hemisphere Harvest,6.7,67,N,N,,"Grilled Light Fish, Lemon Vinaigrette, Ceviche, Roasted Herbed Chicken",verified,26
CU1fkx,nHLlnK,Harvest Newly Developed Hop IPA (2015),6.5,55,N,N,,,verified,30
peyS4P,nHLlnK,Harvest Single Hop IPA - Equinox Hops,6.5,55,N,N,,"Greek-style grilled chicken, Blackened Catfish, Citrus salad with shaved parmesan and lemon-lime vinaigrette. Aged Monterey Jack, Dry Parmesan, Cotswold. Lemon sorbet with roasted pistachios",verified,30
0oHOZv,nHLlnK,Harvest Single Hop IPA - Idaho 7 Varietal,6.5,55,N,N,,"Grilled Steak Tacos, lamb chops with berry glaze, arugula salad with fresh goat cheese, aged cheddar, triple cream, dry Monterey Jack.",verified,30
zGsXaD,nHLlnK,Harvest Single Hop Mandarina Hops,6.5,,N,N,,,verified,30
FK6HtH,nHLlnK,Harvest Single Hop Yakima #291,6.5,55,N,N,,,verified,30
ZSCpkz,nHLlnK,Harvest Wet Hop IPA - Northern Hemisphere Harvest,6.7,67,N,N,,"Crab Cakes, Indian Curry, Quesadillas, Fresh Farmers Cheese.",verified,26
Mx9jQm,nHLlnK,Harvest Wild Hop IPA - Neomexicanus Varietal,6.5,55,N,N,,"Grilled Steak Tacos, Lamb chops with berry glaze, Arugula salad with fresh goat cheese, aged cheddar, triple cream, Dry Monterey Jack.",verified,30
0s57EN,TMc6H2,Hash Brown,6.2,60,N,N,,,verified,37
JKdiyv,TMc6H2,Hash Session IPA,4.2,,N,N,,,verified,164
Oawv0J,TMc6H2,Hatchery series #4 Chocolate Milk Stout,5.4,,N,N,,,verified,20
JzAHi3,TMc6H2,Hatchery Series #5 - NE Style IPA,7.5,,N,N,,,verified,30
ygnsjS,TMc6H2,Hatchery Series 1 - Mosaic Hop IPA,6.4,,N,N,,,verified,30
MZicx4,TMc6H2,Hatchery Series 2 Mexican Style Lager,4.8,,N,N,,,verified,128
LnzGvI,TMc6H2,Hatchery Series Release #6: Golden Summer Ale,4.8,35,N,N,,,verified,36
b601KW,nHLlnK,Hazy Little Thing,6.7,40,N,N,,,verified,30
tuyIzW,nLsoQ9,Hazy Memory,7.7,,N,N,,,verified,172
QFOApS,IImUD9,Hefe Proper Ale,4,9,N,Y,,,verified,48
5LHS1h,p1tFbP,Hefeweizen,4.2,12,Y,N,,,verified,48
zD2FYX,4F7QA9,Hefeweizen,4,28,Y,N,,,verified,48
DsrVwL,p1tFbP,Hibiscus Strawberry Gose,4,,Y,N,,,verified,47
FW35fB,hGFVYy,High Life Light,4.5,,N,N,very_cold,,verified,94
4U8cc8,nHLlnK,High Sierra FestivAle,5.2,,N,N,,,verified,36
IDxKzR,nLsoQ9,High West-ified Imperial Coffee Stout,12.2,,N,N,,,verified,43
5ntmM9,IImUD9,Holidale,7.4,,N,N,,,verified,132
GnPJde,IImUD9,Holidale (2016),10.3,,N,N,,,verified,132
t787n5,IImUD9,Holidale (2017),8.8,22,N,N,,,verified,132
YUaX19,nLsoQ9,Holiday Ale (2011),7.6,63.21,N,N,,,verified,125
C0Ax0o,nHLlnK,Holiday Haze,6.5,40,N,N,,,verified,30
